Date,Open,High,Low,Close,Volume
2020-01-02,19.701488069885393,20.5074576947661,19.66566636261055,19.7104434967041,608713
2020-01-03,19.638799859526134,19.692530707083066,18.967158286809497,19.441783905029297,419620
2020-01-06,19.15521532028957,19.15521532028957,18.54626007787809,18.98506736755371,456671
2020-01-07,19.26268200702078,20.328353863451454,19.119398597021878,20.023876190185547,828508
2020-01-08,19.629841928465133,19.952230388809834,19.46864769829278,19.68357276916504,401434
2020-01-09,20.16716045936421,20.847757539890896,20.00596618922986,20.158205032348633,1071810
2020-01-10,20.462686157767607,20.659700461003595,20.113431277752586,20.167163848876953,545900
2020-01-13,20.399992879224698,20.677604235992366,20.25670948811411,20.570140838623047,483489
2020-01-14,20.68655915475084,20.829842542351855,20.238798141479492,20.238798141479492,330198
2020-01-15,20.37312690257814,20.408948604919143,19.88059045189877,19.916410446166992,256320
2020-01-16,20.014917106561438,20.149245065382786,19.62984237202027,19.79103660583496,296242
2020-01-17,19.99700778116982,20.050738627180355,19.62984386863105,19.952232360839844,273812
2020-01-20,20.005962993946728,20.08656011614121,19.78208247853378,19.916410446166992,160152
2020-01-21,19.808948530308523,20.023873617695198,19.531335464537072,19.844768524169922,218434
2020-01-22,20.086558344595915,20.086558344595915,19.629841928465133,19.68357276916504,167712
2020-01-23,19.531334075481134,19.620886615874852,19.110439356125088,19.298498153686523,324858
2020-01-24,19.52237955856121,19.791037192236818,19.52237955856121,19.549245834350586,233128
2020-01-27,19.119397445790177,19.2268591427823,18.573128410516127,18.788053512573242,393630
2020-01-28,18.859696713823695,19.119398967018036,18.510443608701795,19.10148811340332,284347
2020-01-29,19.101487513228044,19.638801148275856,19.038801235619175,19.53133773803711,288474
2020-01-30,19.244770031982647,19.352233437254313,19.029844929512194,19.092531204223633,238265
2020-01-31,19.432828467335366,19.432828467335366,18.44775390625,18.44775390625,320882
2020-02-03,18.456710579564536,18.537307703253948,18.035814109614765,18.26865005493164,347747
2020-02-04,18.474620108640252,19.441783905029297,18.402978409206725,19.441783905029297,457725
2020-02-05,19.298496410730433,21.671630830505936,19.298496410730433,20.982078552246094,1379998
2020-02-06,21.492530012432994,21.922380202744176,20.292530283426327,20.364171981811523,902374
2020-02-07,20.328349253233633,20.382080092779486,19.59401980843487,19.692527770996094,475176
2020-02-10,19.782082689054892,19.952232360839844,19.450738771165543,19.952232360839844,298807
2020-02-11,20.194021187539715,21.04476780324022,20.18506747030191,21.035812377929688,763159
2020-02-12,21.134321027289122,21.394021537347445,20.78506626124823,21.2507381439209,438779
2020-02-13,21.17909831160126,21.17909831160126,20.310442448976037,20.910442352294922,690451
2020-02-14,20.910441503910512,21.23282830038356,20.75820267766082,20.92835235595703,291681
2020-02-17,21.044772045027077,21.286563452928753,20.829846918472164,21.0268611907959,243098
2020-02-18,20.66864788757616,20.66864788757616,20.050737223459212,20.283573150634766,431323
2020-02-19,20.5880523257346,20.597007751464844,19.997007892120997,20.597007751464844,328483
2020-02-20,20.597013735952636,20.695521739534126,20.211938858032227,20.211938858032227,325924
2020-02-21,20.229845015624775,20.391039272015874,19.67462054450798,19.92536735534668,510263
2020-02-24,19.101488960607742,19.101488960607742,17.910444471571182,18.13432502746582,1045057
2020-02-25,18.429845800456704,18.599995487418205,17.955218445489546,18.394025802612305,660083
2020-02-26,17.928350808268505,18.644767723374347,17.60148548399692,18.492528915405273,490030
2020-02-27,17.776112844010196,18.859693693047056,17.6417848795613,18.62685775756836,913331
2020-02-28,17.686560925983247,18.850738936616317,17.552232956767554,18.80596351623535,984127
2020-03-02,19.620885642697818,19.94327408889599,18.35819983918504,18.976110458374023,744545
2020-03-03,19.397007321683034,19.620887832513237,18.832829185942927,18.93133544921875,878553
2020-03-04,19.02984263909377,19.09252890626033,18.27760401694966,18.37611198425293,529852
2020-03-05,18.761189747900367,18.761189747900367,17.80297961148672,18.394025802612305,554461
2020-03-06,17.86566904515589,18.465669003327978,17.677608489990234,17.677608489990234,749013
2020-03-09,16.016413358387695,16.016413358387695,14.041787147521973,14.041787147521973,1383265
2020-03-10,14.346265085876775,15.577608027787917,14.270145669851718,14.722384452819824,1137488
2020-03-11,14.955219831938663,15.577607421422641,14.350741386413574,14.350741386413574,931820
2020-03-12,13.307458360302007,13.307458360302007,11.283579023560378,11.6417875289917,1019931
2020-03-13,11.937311488288424,12.716415740961716,11.3731323700002,12.044774055480957,1129950
2020-03-16,11.158206742713048,12.098505231656723,10.558206795198348,12.017908096313477,1506465
2020-03-17,12.555219438221739,13.343278083594852,11.534324002933833,13.07462215423584,588741
2020-03-18,12.591042518615723,13.840295544592216,12.049251143050302,12.591042518615723,633254
2020-03-19,12.53730904863366,12.89551753698006,11.297010769925093,12.129846572875977,486687
2020-03-20,12.716413980596835,12.797011108343117,12.013429250422087,12.326862335205078,1015572
2020-03-23,11.807459252460246,12.394025988243067,11.39104133973113,12.219399452209473,624248
2020-03-24,12.823875767284003,13.629846142591184,12.385070158015164,13.580592155456543,786802
2020-03-25,14.09999606469619,14.435817722968462,12.810444552206755,13.195518493652344,723537
2020-03-26,12.841786988872533,12.89551783635367,12.376115089175086,12.599995613098145,435629
2020-03-27,12.402982344522933,12.402982344522933,11.507460178247962,11.55223560333252,532410
2020-03-30,11.610444364806034,11.6865637787896,11.02835447727394,11.413429260253906,304811
2020-03-31,11.507460178247962,11.865668703143355,11.346265915026791,11.55223560333252,359677
2020-04-01,11.238801277932419,11.713427699103148,11.05074162365174,11.480591773986816,290010
2020-04-02,11.641788296841229,12.376116208427225,11.417907752671205,12.120892524719238,499632
2020-04-03,12.22835339391188,12.22835339391188,11.677607536315918,11.677607536315918,188901
2020-04-06,12.089548701733614,12.82387657180651,12.089548701733614,12.649250030517578,323253
2020-04-07,13.092534065246582,13.311936895121578,12.823877242570658,13.092534065246582,348670
2020-04-08,12.985068064939778,13.182083129882812,12.801486136482497,13.182083129882812,165841
2020-04-09,13.432831270941373,13.58059238076027,12.837309118757762,12.98507022857666,260109
2020-04-14,13.065666875650154,13.141786284233499,12.577607288975129,12.707457542419434,275492
2020-04-15,12.608950875925325,12.608950875925325,11.350742586883023,11.574623107910156,509126
2020-04-16,11.888055865593731,11.89253357870229,11.32835453757074,11.525369644165039,231398
2020-04-17,11.910443110687503,12.62238318932656,11.820890566517471,12.447755813598633,516726
2020-04-20,12.488055071534406,13.504472832356681,12.179100570344167,13.464174270629883,490178
2020-04-21,13.0029807463388,13.02984616906068,12.29551749769272,12.304472923278809,322279
2020-04-22,12.667162265054642,12.667162265054642,12.116415448373083,12.33581829071045,184988
2020-04-23,12.358206333941196,12.895519132959896,12.340295480288985,12.537310600280762,339856
2020-04-24,12.31342945289326,12.855219938883058,12.223876897075813,12.797011375427246,164632
2020-04-27,12.989548094463732,13.03880208299557,12.510443910136862,12.582085609436035,147612
2020-04-28,12.626862896651149,13.414921652080043,12.465668633295175,13.379100799560547,319625
2020-04-29,13.432830725492265,14.59700870513916,13.307457331267909,14.59700870513916,446239
2020-04-30,14.950741868618048,15.026862138790355,13.616414083682907,13.76865291595459,409390
2020-05-04,13.253728431226756,13.271638430722936,12.671638501962109,13.03432559967041,293955
2020-05-05,13.495519635521699,13.665669336255592,12.931340532204372,13.249251365661621,324644
