ticker,model,parameters,mae,rmse,direction_accuracy,time_s
REMX,MLP,hidden=[25] lr=0.0001,0.7576723073172639,1.0567478412981486,51.14503816793893,0.041
REMX,RandomForest,n_est=50,0.8141766968063532,1.012984998901515,45.80152671755725,0.05
REMX,RandomForest,n_est=100,0.8157014989671602,1.0124696356532359,45.80152671755725,0.085
REMX,RandomForest,n_est=200,0.8193968684047803,1.014305457507379,46.56488549618321,0.147
REMX,SVM,rbf C=0.1,0.7033213474354408,0.9014282890544879,44.274809160305345,0.017
REMX,SVM,rbf C=1.0,0.703883101673188,0.9023307869821525,51.14503816793893,0.016
REMX,SVM,rbf C=10.0,0.7075402916867579,0.9040505775841678,42.74809160305343,0.02
REMX,HistGradientBoosting,max_iter=100,0.7297123301990511,0.9253627480870876,45.038167938931295,0.243
REMX,HistGradientBoosting,max_iter=200,0.7475280937462099,0.941469766176435,43.51145038167939,0.063
REMX,HistGradientBoosting,max_iter=300,0.7536039360192783,0.9475994649179285,43.89312977099237,0.101
AMG_AS,MLP,hidden=[25] lr=0.0001,0.38028796115972713,0.5360417811343271,50.57034220532319,0.057
AMG_AS,RandomForest,n_est=50,0.3659916037520512,0.5119016224668576,47.52851711026616,0.057
AMG_AS,RandomForest,n_est=100,0.3629496701322081,0.5053491340803543,49.80988593155893,0.076
AMG_AS,RandomForest,n_est=200,0.3644601614679103,0.5049159455307584,50.19011406844106,0.17
AMG_AS,SVM,rbf C=0.1,0.3385094301548054,0.47760104531903996,48.28897338403042,0.016
AMG_AS,SVM,rbf C=1.0,0.33807702130262707,0.4762944251697271,50.19011406844106,0.017
AMG_AS,SVM,rbf C=10.0,0.3403315398257517,0.4825020499017259,56.27376425855514,0.021
AMG_AS,HistGradientBoosting,max_iter=100,0.34562960867646036,0.48479715184959965,47.14828897338403,0.075
AMG_AS,HistGradientBoosting,max_iter=200,0.3514835769883717,0.48952859145155386,46.00760456273764,0.065
AMG_AS,HistGradientBoosting,max_iter=300,0.35404293313239316,0.49243772793649604,46.7680608365019,0.091
KGH_WA,MLP,hidden=[25] lr=0.0001,2.602163669213498,3.4472794013886627,47.72727272727273,0.047
KGH_WA,RandomForest,n_est=50,2.6971189337065717,3.5201266701293146,47.72727272727273,0.05
KGH_WA,RandomForest,n_est=100,2.680547712788437,3.508562386135134,48.484848484848484,0.077
KGH_WA,RandomForest,n_est=200,2.6865055924473387,3.5024037401204304,48.86363636363637,0.138
KGH_WA,SVM,rbf C=0.1,2.4252661459328144,3.2641677945031997,51.515151515151516,0.016
KGH_WA,SVM,rbf C=1.0,2.446081223086812,3.2819167481630505,51.89393939393939,0.017
KGH_WA,SVM,rbf C=10.0,2.516647812434628,3.357064213612667,45.45454545454545,0.021
KGH_WA,HistGradientBoosting,max_iter=100,2.5755481733380963,3.374920948672154,49.24242424242424,0.071
KGH_WA,HistGradientBoosting,max_iter=200,2.661360044003768,3.4399668830290726,49.621212121212125,0.075
KGH_WA,HistGradientBoosting,max_iter=300,2.725046911449578,3.4956569831080957,48.484848484848484,0.105
